name,gender,race,age,phone_no,dob_year,dob_month,dob_day,addhar_no,email,address,state,img_rgt_thumb,img_rgt_index,img_rgt_middle,img_rgt_ring,img_rgt_little,img_left_thumb,img_left_index,img_left_middle,img_left_ring,img_left_little
nitin,f,indian,45,7819587282,1977,04,04,479876071146,nitin@gmail.com,"69/71, Sankaran Chowk
Srinagar-612687",Arunachal Pradesh,100__M_Right_thumb_finger.BMP,100__M_Right_index_finger.BMP,100__M_Right_middle_finger.BMP,100__M_Right_ring_finger.BMP,100__M_Right_little_finger.BMP,100__M_Left_thumb_finger.BMP,100__M_Left_index_finger.BMP,100__M_Left_middle_finger.BMP,100__M_Left_ring_finger.BMP,100__M_Left_little_finger.BMP
tripti,m,indian,56,6550763390,1966,05,05,307940090670,tripti@gmail.com,"40/77, Kakar Nagar, Karnal-873984",Odisha,101__M_Right_thumb_finger.BMP,101__M_Right_index_finger.BMP,101__M_Right_middle_finger.BMP,101__M_Right_ring_finger.BMP,101__M_Right_little_finger.BMP,101__M_Left_thumb_finger.BMP,101__M_Left_index_finger.BMP,101__M_Left_middle_finger.BMP,101__M_Left_ring_finger.BMP,101__M_Left_little_finger.BMP
somdutt,f,indian,53,4138497486,1969,12,08,306888775786,somdutt@gmail.com,"909
Grover
Mysore-318909",Odisha,102__M_Right_thumb_finger.BMP,102__M_Right_index_finger.BMP,102__M_Right_middle_finger.BMP,102__M_Right_ring_finger.BMP,102__M_Right_little_finger.BMP,102__M_Left_thumb_finger.BMP,102__M_Left_index_finger.BMP,102__M_Left_middle_finger.BMP,102__M_Left_ring_finger.BMP,102__M_Left_little_finger.BMP
bhagwati prasad,m,indian,95,1098844205,1927,03,25,343798185018,bhagwatiprasad@gmail.com,"03/26, Shanker Street
Maheshtala 472281",Assam,103__F_Right_thumb_finger.BMP,103__F_Right_index_finger.BMP,103__F_Right_middle_finger.BMP,103__F_Right_ring_finger.BMP,103__F_Right_little_finger.BMP,103__F_Left_thumb_finger.BMP,103__F_Left_index_finger.BMP,103__F_Left_middle_finger.BMP,103__F_Left_ring_finger.BMP,103__F_Left_little_finger.BMP
yognder,m,indian,79,2978310353,1943,03,08,415960603742,yognder@gmail.com,"49, Dutta Zila, Eluru-963432",Odisha,104__M_Right_thumb_finger.BMP,104__M_Right_index_finger.BMP,104__M_Right_middle_finger.BMP,104__M_Right_ring_finger.BMP,104__M_Right_little_finger.BMP,104__M_Left_thumb_finger.BMP,104__M_Left_index_finger.BMP,104__M_Left_middle_finger.BMP,104__M_Left_ring_finger.BMP,104__M_Left_little_finger.BMP
kuldeep,m,indian,3,3222400345,2019,01,01,976155306638,kuldeep@gmail.com,"H.No. 945
Lanka Circle
Katihar-463407",Himachal Pradesh,105__M_Right_thumb_finger.BMP,105__M_Right_index_finger.BMP,105__M_Right_middle_finger.BMP,105__M_Right_ring_finger.BMP,105__M_Right_little_finger.BMP,105__M_Left_thumb_finger.BMP,105__M_Left_index_finger.BMP,105__M_Left_middle_finger.BMP,105__M_Left_ring_finger.BMP,105__M_Left_little_finger.BMP
amit,m,indian,9,4061409120,2013,06,23,669328467736,amit@gmail.com,"06/475, Bali Ganj
Vellore 551646",Uttar Pradesh,106__M_Right_thumb_finger.BMP,106__M_Right_index_finger.BMP,106__M_Right_middle_finger.BMP,106__M_Right_ring_finger.BMP,106__M_Right_little_finger.BMP,106__M_Left_thumb_finger.BMP,106__M_Left_index_finger.BMP,106__M_Left_middle_finger.BMP,106__M_Left_ring_finger.BMP,106__M_Left_little_finger.BMP
shivam,m,indian,77,1205450837,1945,05,16,680002949188,shivam@gmail.com,"H.No. 732
Sodhi Ganj
Coimbatore-041562",Mizoram,107__M_Right_thumb_finger.BMP,107__M_Right_index_finger.BMP,107__M_Right_middle_finger.BMP,107__M_Right_ring_finger.BMP,107__M_Right_little_finger.BMP,107__M_Left_thumb_finger.BMP,107__M_Left_index_finger.BMP,107__M_Left_middle_finger.BMP,107__M_Left_ring_finger.BMP,107__M_Left_little_finger.BMP
sandeep kumar,m,indian,36,4828788484,1986,01,26,384685295056,sandeepkumar@gmail.com,"99/31, Banik
Muzaffarpur 246927",Maharashtra,108__M_Right_thumb_finger.BMP,108__M_Right_index_finger.BMP,108__M_Right_middle_finger.BMP,108__M_Right_ring_finger.BMP,108__M_Right_little_finger.BMP,108__M_Left_thumb_finger.BMP,108__M_Left_index_finger.BMP,108__M_Left_middle_finger.BMP,108__M_Left_ring_finger.BMP,108__M_Left_little_finger.BMP
gurdeep kaur,m,indian,92,6737228494,1930,04,27,232175882141,gurdeepkaur@gmail.com,"H.No. 085, Sankar Path
Amroha 468109",Mizoram,109__F_Right_thumb_finger.BMP,109__F_Right_index_finger.BMP,109__F_Right_middle_finger.BMP,109__F_Right_ring_finger.BMP,109__F_Right_little_finger.BMP,109__F_Left_thumb_finger.BMP,109__F_Left_index_finger.BMP,109__F_Left_middle_finger.BMP,109__F_Left_ring_finger.BMP,109__F_Left_little_finger.BMP
karan,f,indian,50,3984401799,1972,01,20,367414101643,karan@gmail.com,"114
Mane Marg
Korba 474914",Haryana,10__M_Right_thumb_finger.BMP,10__M_Right_index_finger.BMP,10__M_Right_middle_finger.BMP,10__M_Right_ring_finger.BMP,10__M_Right_little_finger.BMP,10__M_Left_thumb_finger.BMP,10__M_Left_index_finger.BMP,10__M_Left_middle_finger.BMP,10__M_Left_ring_finger.BMP,10__M_Left_little_finger.BMP
neha,m,indian,82,2281850366,1940,08,04,665018958183,neha@gmail.com,"05/82, Kari Zila, Buxar 260917",Manipur,110__F_Right_thumb_finger.BMP,110__F_Right_index_finger.BMP,110__F_Right_middle_finger.BMP,110__F_Right_ring_finger.BMP,110__F_Right_little_finger.BMP,110__F_Left_thumb_finger.BMP,110__F_Left_index_finger.BMP,110__F_Left_middle_finger.BMP,110__F_Left_ring_finger.BMP,110__F_Left_little_finger.BMP
rohit,f,indian,81,9448465719,1941,10,08,975173050457,rohit@gmail.com,"36
Saini Nagar, Silchar 132669",Punjab,111__M_Right_thumb_finger.BMP,111__M_Right_index_finger.BMP,111__M_Right_middle_finger.BMP,111__M_Right_ring_finger.BMP,111__M_Right_little_finger.BMP,111__M_Left_thumb_finger.BMP,111__M_Left_index_finger.BMP,111__M_Left_middle_finger.BMP,111__M_Left_ring_finger.BMP,111__M_Left_little_finger.BMP
manju devi,m,indian,95,9053346224,1927,02,26,587255970625,manjudevi@gmail.com,"40/981
Sahota Chowk
Jalgaon 881465",Assam,112__M_Right_thumb_finger.BMP,112__M_Right_index_finger.BMP,112__M_Right_middle_finger.BMP,112__M_Right_ring_finger.BMP,112__M_Right_little_finger.BMP,112__M_Left_thumb_finger.BMP,112__M_Left_index_finger.BMP,112__M_Left_middle_finger.BMP,112__M_Left_ring_finger.BMP,112__M_Left_little_finger.BMP
kabir,f,indian,40,4614168746,1982,05,21,386809985629,kabir@gmail.com,"90/269, Ramachandran Nagar, Bikaner 433580",Goa,113__M_Right_thumb_finger.BMP,113__M_Right_index_finger.BMP,113__M_Right_middle_finger.BMP,113__M_Right_ring_finger.BMP,113__M_Right_little_finger.BMP,113__M_Left_thumb_finger.BMP,113__M_Left_index_finger.BMP,113__M_Left_middle_finger.BMP,113__M_Left_ring_finger.BMP,113__M_Left_little_finger.BMP
